Dyad,Round,Player,previous_absent_round,DLIndex,Similarity,Consistency,Joint,Size_visited
151-962,18,151-962PL1,15,0.453125,0.671875,0.4444444444444444,22,43
151-962,18,151-962PL2,15,0.453125,0.46875,0.3404255319148936,22,30
151-962,19,151-962PL1,18,0.40625,0.65625,0.5454545454545454,25,42
151-962,19,151-962PL2,18,0.40625,0.53125,0.391304347826087,25,34
151-962,20,151-962PL1,19,0.515625,0.609375,0.5283018867924528,18,39
151-962,20,151-962PL2,19,0.515625,0.5348837209302325,0.3617021276595745,18,30
151-962,22,151-962PL1,20,0.484375,0.578125,0.4074074074074074,17,37
151-962,22,151-962PL2,20,0.484375,0.4375,0.2608695652173913,17,28
151-962,23,151-962PL1,22,0.59375,0.6875,0.3728813559322034,20,44
151-962,23,151-962PL2,22,0.59375,0.5348837209302325,0.2653061224489796,20,34
151-962,26,151-962PL1,23,0.546875,0.5,0.5510204081632653,12,32
151-962,26,151-962PL2,23,0.546875,0.475,0.24489795918367346,12,27
151-962,27,151-962PL1,26,0.5625,0.546875,0.3673469387755102,14,35
151-962,27,151-962PL2,26,0.5625,0.4878048780487805,0.36585365853658536,14,29
151-962,28,151-962PL1,27,0.375,0.5813953488372093,0.4489795918367347,23,36
151-962,28,151-962PL2,27,0.375,0.53125,0.3695652173913043,23,34
151-962,30,151-962PL1,28,0.578125,0.640625,0.3508771929824561,18,41
151-962,30,151-962PL2,28,0.578125,0.5,0.375,18,32
151-962,31,151-962PL1,30,0.484375,0.515625,0.48,16,33
151-962,31,151-962PL2,30,0.484375,0.46875,0.34782608695652173,16,30
151-962,32,151-962PL1,31,0.421875,0.578125,0.25,17,37
151-962,32,151-962PL2,31,0.421875,0.375,0.22727272727272727,17,24
151-962,36,151-962PL1,32,0.484375,0.546875,0.4117647058823529,10,35
151-962,36,151-962PL2,32,0.484375,0.2631578947368421,0.17647058823529413,10,16
151-962,39,151-962PL1,36,0.46875,0.5,0.3137254901960784,12,32
151-962,39,151-962PL2,36,0.46875,0.35135135135135137,0.1875,12,22
151-962,42,151-962PL1,39,0.546875,0.671875,0.3888888888888889,21,43
151-962,42,151-962PL2,39,0.546875,0.5714285714285714,0.36585365853658536,21,34
151-962,45,151-962PL1,42,0.53125,0.625,0.48214285714285715,19,40
151-962,45,151-962PL2,42,0.53125,0.5238095238095238,0.5348837209302325,19,32
151-962,46,151-962PL1,45,0.609375,0.828125,0.6607142857142857,20,53
151-962,46,151-962PL2,45,0.609375,0.45,0.7058823529411765,20,26
151-962,50,151-962PL1,46,0.5625,0.625,0.576271186440678,18,40
151-962,50,151-962PL2,46,0.5625,0.5609756097560976,0.3488372093023256,18,32
151-962,52,151-962PL1,50,0.5625,0.46875,0.37254901960784315,9,30
151-962,52,151-962PL2,50,0.5625,0.375,0.2727272727272727,9,24
151-962,54,151-962PL1,52,0.5625,0.65625,0.4117647058823529,14,42
151-962,54,151-962PL2,52,0.5625,0.5882352941176471,0.15,14,22
151-962,55,151-962PL1,54,0.5,0.703125,0.5535714285714286,19,45
